titleCroatian,titleEnglish,genre,CEFR,croatian,english
Zdrava prehrana,Healthy Eating,health,A1,"Zdrava prehrana je važna za dobro zdravlje. Ljudi trebaju jesti voće i povrće svaki dan. Važno je piti puno vode i manje gaziranih pića. Meso, riba, jaja i grah daju tijelu proteine. Kruh, riža i tjestenina daju energiju. Slatkiše i masnu hranu treba jesti samo malo. Kada jedemo zdravo, imamo više snage i osjećamo se bolje.","Healthy eating is important for good health. People should eat fruit and vegetables every day. It is important to drink a lot of water and less fizzy drinks. Meat, fish, eggs, and beans give the body protein. Bread, rice, and pasta give energy. Sweets and fatty food should be eaten only a little. When we eat healthy, we have more strength and feel better."
,Hibernation,science,A2,,
,Homage to Catalonia,history,A2,,
,Homo Deus,history,B2,,
,Horseshoe Theory,politics,C,,
,How Colors Affect Emotions,psychology,A2,,
,How Republics Become Dictatorships,politics,C,,
,How Stars Are Born,science,A2,,
,Høyre,politics,C,,
,Identity,psychology,C,,
,Impermanence,philosophy,C,,
,Impostor Syndrome,psychology,B1,,
,Indian Spices,food,A2,,
,Instant Ramen,food,A2,,
,Intergalactic Communication,science fiction,A2,,
,Introducing Myself,monologue,B1,,
Je li doručak važan?,Is Breakfast Important?,health,A1,"Doručak je prvi obrok u danu. Mnogi liječnici kažu da je doručak vrlo važan. Kada jedemo doručak, imamo više energije za školu ili posao. Zdrav doručak može biti kruh, sir, jaje ili voće. Ako ne jedemo doručak, možemo biti umorni i bez snage. Zato je dobro započeti dan s doručkom.","Breakfast is the first meal of the day. Many doctors say that breakfast is very important. When we eat breakfast, we have more energy for school or work. A healthy breakfast can be bread, cheese, an egg, or fruit. If we don’t eat breakfast, we can be tired and without strength. That’s why it is good to start the day with breakfast."
,Islam,philosophy,B2,,
,January in Norway,culture,A2,,
,Judaism,philosophy,B2,,
,July in Norway,culture,B1,,
,June in Norway,culture,A2,,
Učenje novog jezika,Learning a New Language,monologue,B1,"Učenje novog jezika za mene je uvijek izazov, ali i velika prilika. Kada počnem učiti, osjećam se kao da otvaram vrata u novi svijet. Na početku je teško jer ne razumijem mnogo riječi i često se sramim govoriti. Ipak, svaki dan učim malo više i osjećam napredak. Pomaže mi kada gledam filmove s titlovima ili slušam glazbu na tom jeziku. Također pokušavam razgovarati s ljudima, iako pravim pogreške. Mislim da su pogreške važan dio procesa, jer kroz njih najbolje učimo. Ponekad izgubim motivaciju, ali onda se sjetim zašto sam počeo: želim putovati, bolje razumjeti kulturu i možda jednoga dana raditi u drugoj zemlji. Učenje jezika traži vrijeme i strpljenje, ali nagrada je osjećaj da se povezujem s ljudima na nov način.","Learning a new language is always a challenge for me, but also a big opportunity. When I start learning, I feel like I am opening the door to a new world. At the beginning it is hard because I don’t understand many words and I am often shy to speak. Still, every day I learn a bit more and feel progress. It helps me when I watch movies with subtitles or listen to music in that language. I also try to talk with people, even though I make mistakes. I think mistakes are an important part of the process, because through them we learn best. Sometimes I lose motivation, but then I remember why I started: I want to travel, understand the culture better, and maybe one day work in another country. Learning a language takes time and patience, but the reward is the feeling that I connect with people in a new way."
Učim nove riječi,Learning New Vocabulary,monologue,A1,"Svaki dan učim nove riječi. Ponekad čitam knjigu ili časopis i pišem nepoznate riječi u bilježnicu. Kod kuće otvorim rječnik i tražim značenje. Ponovim riječi naglas i pokušam napraviti jednostavnu rečenicu. Ponekad slušam pjesme ili gledam filmove i učim nove riječi iz konteksta. Volim kada zapamtim riječ i mogu je koristiti u razgovoru. Polako, ali sigurno, moj rječnik postaje veći.","Every day I learn new words. Sometimes I read a book or magazine and write unknown words in a notebook. At home I open a dictionary and look for the meaning. I repeat the words aloud and try to make a simple sentence. Sometimes I listen to songs or watch movies and learn new words from context. I like when I remember a word and can use it in conversation. Slowly but surely, my vocabulary is getting bigger."
,Liberalism,politics,B2,,
Život na Marsu,Life on Mars,science fiction,A1,"Mars je planeta blizu Zemlje. Na Marsu nema puno zraka i jako je hladno. Ljudi još ne žive tamo, ali znanstvenici šalju robote da istražuju. Oni traže vodu i znakove života. Ako na Marsu ima vode, možda će jednog dana ljudi moći graditi kuće i živjeti tamo. Za sada život na Marsu postoji samo u našim planovima i snovima.","Mars is a planet near Earth. On Mars there is not much air and it is very cold. People do not live there yet, but scientists send robots to explore. They are looking for water and signs of life. If there is water on Mars, maybe one day people will be able to build houses and live there. For now, life on Mars exists only in our plans and dreams."
,Liminality,drama,B1,,
,Lofoten,travel,A1,,
,London,travel,A2,,
,Lost in Space,science fiction,B2,,
,Lost in Translation,drama,B2,,
,Madrid,travel,A2,,
,Magic Wands,fantasy,B1,,
,Maglev Trains,technology,B2,,
Magneti u svakodnevnom životu,Magnets in Everyday Life,technology,A1,"Magneti su predmeti koji privlače metal. U svakodnevnom životu koristimo magnete na mnoge načine. Na hladnjaku ljudi stavljaju male magnete s papirima ili slikama. U školama magneti pomažu u učenju fizike. U televizorima, računalima i telefonima također postoje mali magneti. Oni pomažu da strojevi dobro rade. Magneti su važni i korisni u našem životu.","Magnets are objects that attract metal. In everyday life we use magnets in many ways. On the fridge people put small magnets with papers or pictures. In schools magnets help in learning physics. In televisions, computers, and phones there are also small magnets. They help machines work well. Magnets are important and useful in our lives."
,Making Friends While Traveling,travel,B1,,
,March in Norway,culture,B1,,
,Marxism,politics,C,,
,May in Norway,culture,A2,,
,Meditation,psychology,B2,,
,Mental Health,health,B2,,
,Mesopotamia,history,B2,,
,Metropolis,science fiction,A1,,
,Minimalism,philosophy,B1,,
,Mob Mentalities,psychology,B2,,
,Modern Dictatorships,politics,B2,,
,Modern Propaganda,politics,B2,,
,Multitasking,psychology,B2,,
Moj razred,My Classroom,monologue,A1,"Moj razred je velik i svijetao. U razredu imamo mnogo stolova i stolica. Na zidu je ploča i sat. Učitelj piše na ploči, a mi učenici slušamo. U razredu su i knjige, bilježnice i olovke. Prozor je velik, a kroz prozor vidimo školu i drveće. Ponekad je razred tih, a ponekad bučan. Volim svoj razred jer učim mnogo novih stvari i igram se s prijateljima.","My classroom is big and bright. In the classroom we have many tables and chairs. On the wall there is a board and a clock. The teacher writes on the board and we students listen. In the classroom there are also books, notebooks, and pencils. The window is large, and through the window we see the school and the trees. Sometimes the classroom is quiet, and sometimes noisy. I love my classroom because I learn many new things and play with friends."
Moj omiljeni grad,My Favorite City,monologue,A1,Moj omiljeni grad je Zagreb. Volim ići tamo jer ima mnogo lijepih ulica i parkova. U centru grada vidim veliki trg i staru katedralu. Volim piti kavu u kafiću i gledati ljude. Zagreb ima i tramvaje koji voze kroz grad. Ljeti je toplo i ljudi sjede vani. Zimi grad ima snijeg i božićne lampice. Osjećam se sretno kada sam u Zagrebu jer grad ima mnogo života i boja.,My favorite city is Zagreb. I like to go there because it has many beautiful streets and parks. In the city center I see a big square and the old cathedral. I like to drink coffee in a café and watch people. Zagreb also has trams that go through the city. In summer it is warm and people sit outside. In winter the city has snow and Christmas lights. I feel happy when I am in Zagreb because the city has a lot of life and color.
Moja omiljena hrana,My Favorite Food,monologue,A1,"Moja omiljena hrana je pizza. Volim jesti pizzu s rajčicom, sirom i gljivama. Ponekad stavim i šunku ili masline. Pizza je topla i mirisna, i uvijek me veseli. Volim jesti pizzu s prijateljima u restoranu ili kod kuće. Kada jedem pizzu, pijem sok ili vodu. Za mene je pizza najbolja hrana jer je ukusna i jednostavna.","My favorite food is pizza. I like to eat pizza with tomato, cheese, and mushrooms. Sometimes I add ham or olives. Pizza is warm and fragrant, and it always makes me happy. I like to eat pizza with friends in a restaurant or at home. When I eat pizza, I drink juice or water. For me, pizza is the best food because it is tasty and simple."
Moj omiljeni hobi,My Favorite Hobby,monologue,A1,"Moj omiljeni hobi je čitanje knjiga. Volim sjediti u svojoj sobi i čitati priče. Čitam ujutro prije škole ili navečer prije spavanja. Najviše volim čitati kratke priče i jednostavne romane. Ponekad idem u knjižnicu i posudim novu knjigu. Kada čitam, osjećam se mirno i sretno. Knjige mi pokazuju nove ljude i nova mjesta. Zato je čitanje moj omiljeni hobi.","My favorite hobby is reading books. I like to sit in my room and read stories. I read in the morning before school or in the evening before sleep. I like best to read short stories and simple novels. Sometimes I go to the library and borrow a new book. When I read, I feel calm and happy. Books show me new people and new places. That is why reading is my favorite hobby."
Moje prvo kuhanje,My First Cooking Attempt,monologue,A1,"Jučer sam prvi put kuhao. Htio sam napraviti juhu. Uzeo sam lonac, vodu, mrkvu i krumpir. Rezao sam povrće polako jer nisam znao dobro rezati. Stavio sam sve u lonac i čekao. Ponekad sam miješao juhu žlicom. Miris je bio dobar, ali juha je bila malo slana. Moja obitelj je jela juhu i rekla da je dobra. Bio sam sretan jer sam prvi put sam kuhao.","Yesterday I cooked for the first time. I wanted to make soup. I took a pot, water, a carrot, and a potato. I cut the vegetables slowly because I didn’t know how to cut well. I put everything in the pot and waited. Sometimes I stirred the soup with a spoon. The smell was good, but the soup was a little salty. My family ate the soup and said it was good. I was happy because I cooked alone for the first time."
Moj dom,My Home,monologue,A1,"Moj dom je mali, ali lijep. U njemu imam dnevnu sobu, kuhinju, kupaonicu i spavaću sobu. U dnevnoj sobi je stol, stolice i televizija. Kuhinja je svijetla i u njoj kuham hranu. U spavaćoj sobi je krevet i ormar. U kupaonici je ogledalo i tuš. Moj dom ima prozore i vrata, a ispred kuće je malo dvorište. Volim svoj dom jer je topao i udoban.","My home is small but nice. It has a living room, kitchen, bathroom, and bedroom. In the living room there is a table, chairs, and a television. The kitchen is bright and I cook food in it. In the bedroom there is a bed and a wardrobe. In the bathroom there is a mirror and a shower. My home has windows and doors, and in front of the house there is a small yard. I love my home because it is warm and comfortable."
Moje jutarnje putovanje,My Morning Commute,monologue,A1,"Svako jutro idem na posao. Ustajem rano i doručkujem kod kuće. Zatim idem na autobus. Autobus dolazi u sedam sati. U autobusu vidim mnogo ljudi. Neki ljudi čitaju, a neki razgovaraju. Ja obično gledam kroz prozor ili slušam glazbu. Put traje oko trideset minuta. Kada stignem, izlazim iz autobusa i idem pješice do posla. Moje jutarnje putovanje je jednostavno i mirno.","Every morning I go to work. I get up early and eat breakfast at home. Then I go to the bus. The bus comes at seven o’clock. On the bus I see many people. Some people read, and some talk. I usually look out the window or listen to music. The trip takes about thirty minutes. When I arrive, I get off the bus and walk to work. My morning commute is simple and calm."
Moja jutarnja rutina,My Morning Routine,monologue,A1,"Svako jutro ustajem u sedam sati. Prvo perem lice i zube. Zatim oblačim odjeću i spremam krevet. Nakon toga pijem kavu i jedem doručak, obično kruh i sir. Ponekad slušam glazbu ili gledam vijesti. Poslije uzimam torbu i idem u školu ili na posao. Moja jutarnja rutina je jednostavna, ali mi pomaže da dobro počnem dan.","Every morning I get up at seven o’clock. First I wash my face and brush my teeth. Then I put on clothes and make my bed. After that I drink coffee and eat breakfast, usually bread and cheese. Sometimes I listen to music or watch the news. Afterwards I take my bag and go to school or work. My morning routine is simple, but it helps me start the day well."
Moj kvart,My Neighborhood,monologue,A1,"Moj kvart je miran i lijep. U kvartu su kuće, stanovi i trgovine. Blizu moje kuće je škola i mala pekarnica. Ima i park gdje djeca igraju nogomet i ljudi šeću pse. Ulica je duga i ima mnogo stabala. Ponekad idem u trgovinu ili pijem kavu u kafiću na uglu. Moj kvart nije velik, ali je ugodan i svi se ljudi poznaju.","My neighborhood is quiet and nice. In the neighborhood there are houses, apartments, and shops. Near my home there is a school and a small bakery. There is also a park where children play football and people walk dogs. The street is long and has many trees. Sometimes I go to the shop or drink coffee in the café on the corner. My neighborhood is not big, but it is pleasant and everyone knows each other."
Moji kućni ljubimci,My Pets,monologue,A1,"Imam dva kućna ljubimca. To su pas i mačka. Moj pas se zove Max. On je velik, ali dobar i voli se igrati u parku. Moja mačka se zove Maja. Ona je mala i voli spavati na kauču. Svako jutro dajem im hranu i vodu. Ponekad češljam mačku i šetam psa. Jako volim svoje ljubimce jer su moji prijatelji i uvijek su sa mnom.",I have two pets. They are a dog and a cat. My dog’s name is Max. He is big but good and likes to play in the park. My cat’s name is Maja. She is small and likes to sleep on the couch. Every morning I give them food and water. Sometimes I brush the cat and walk the dog. I love my pets very much because they are my friends and are always with me.
,Natalie Wynn,philosophy,B2,,
,Neurodiversity,psychology,B2,,
Nova godina u Hrvatskoj,New Year's Eve in Croatia,culture,A1,"U Hrvatskoj ljudi slave Novu godinu s obitelji i prijateljima. U gradovima su koncerti na trgovima, a mnogi ljudi plešu i pjevaju. U ponoć svi gledaju vatromet i nazdravljaju čašom pića. Djeca se vesele svjetlima i glazbi. Neki ljudi idu u crkvu, a drugi ostaju kod kuće i gledaju televiziju. Hrana je važna: često se jedu kolači, meso i salate. Ujutro prvog siječnja svi žele jedni drugima sretnu i uspješnu novu godinu.","In Croatia people celebrate New Year with family and friends. In the cities there are concerts in the squares, and many people dance and sing. At midnight everyone watches fireworks and toasts with a glass of drink. Children enjoy the lights and music. Some people go to church, and others stay at home and watch television. Food is important: cakes, meat, and salads are often eaten. On the morning of the first of January everyone wishes each other a happy and successful new year."
,Nineteen Eighty-Four,drama,B2,,
,Nintendo,culture,B1,,
Noćne životinje,Nocturnal Animals,science,A1,"Noćne životinje su životinje koje su aktivne noću. One danju spavaju, a noću traže hranu. Sove vide dobro u mraku i love miševe. Šišmiši lete noću i hvataju kukce. Ježevi noću traže hranu u vrtovima i šumama. Neke mačke također vole loviti po noći. Noćne životinje koriste miris i sluh da se snađu u tami.",Nocturnal animals are animals that are active at night. They sleep during the day and look for food at night. Owls see well in the dark and hunt mice. Bats fly at night and catch insects. Hedgehogs look for food at night in gardens and forests. Some cats also like to hunt at night. Nocturnal animals use smell and hearing to find their way in the dark.
,Norway–United States Relations,history,B2,,
,Norwegian Breakfast,food,A2,,
,Norwegian Dinner,food,A2,,
,Norwegian Lunch,food,A2,,
,Norwegian Waffles,food,A2,,
,Nothingness,philosophy,C,,
,November in Norway,culture,B1,,
,Nynorsk,language,A2,,
,October in Norway,culture,A2,,
,Ordering Ice Cream,dialogue,A1,,
,Oslo,travel,A2,,
Prevladavanje jezične barijere,Overcoming a Language Barrier,monologue,B2,"Kada sam prvi put živio u inozemstvu, najveći problem za mene bila je jezična barijera. Znao sam nekoliko osnovnih riječi, ali nisam mogao izraziti ono što stvarno mislim ili osjećam. Na početku sam se često osjećao izgubljeno i isključeno iz razgovora. Međutim, s vremenom sam shvatio da je jedini način da prevladam tu prepreku – riskirati i govoriti, čak i kada nisam siguran u točnost. Počeo sam postavljati jednostavna pitanja, tražiti objašnjenja i koristiti geste. Ljudi su uglavnom bili strpljivi i spremni pomoći, a ja sam polako stjecao samopouzdanje. Posebno mi je pomoglo kada sam pronašao prijatelje koji nisu kritizirali moje pogreške, nego su me poticali da nastavim pokušavati. Nakon nekoliko mjeseci primijetio sam da razgovaram prirodnije i da više ne razmišljam o svakoj riječi. Shvatio sam da je jezična barijera stvarna samo dok je sami gradimo. Kada prihvatimo nesavršenost i damo si vremena, komunikacija postaje moguća i odnosi se mogu graditi bez obzira na savršenstvo jezika.","When I first lived abroad, the biggest problem for me was the language barrier. I knew a few basic words, but I couldn’t express what I really thought or felt. At the beginning I often felt lost and excluded from conversations. However, over time I realized that the only way to overcome this obstacle was to take the risk and speak, even when I wasn’t sure about accuracy. I started asking simple questions, requesting explanations, and using gestures. People were generally patient and willing to help, and I slowly gained confidence. It especially helped when I found friends who didn’t criticize my mistakes but encouraged me to keep trying. After a few months I noticed that I was speaking more naturally and no longer thinking about every word. I realized that the language barrier exists only as long as we build it ourselves. When we accept imperfection and give ourselves time, communication becomes possible and relationships can be built regardless of perfect language."
