English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
American,A2,masculine,Amerikanac,X,osoba podrijetlom iz Sjedinjenih Američkih Država,X,Amerikanac radi u našoj firmi u Zagrebu.,An American works in our company in Zagreb.,,
analysis,B1,feminine,analiza,X,detaljno ispitivanje činjenica radi zaključka,X,Analiza je pokazala nekoliko važnih pogrešaka u projektu.,The analysis revealed several important flaws in the project.,,
analyze,B1,verb,analizirati,X,razlagati na dijelove radi boljeg razumijevanja,X,Pokušavamo analizirati podatke prije sljedećeg sastanka.,We are trying to analyze the data before the next meeting.,,
"anal, rectal",B2,adjective,analni,X,koji se odnosi na anus ili završni dio crijeva,X,Medicinski pregled uključuje i analni test ako je potreban.,The medical examination includes an anal exam if necessary.,,
angel,B1,masculine,anđeo,X,duhovno biće koje se smatra Božjim glasnikom,X,Anđeo u priči pomaže ljudima da pronađu put kući.,The angel in the story helps people find their way home.,,
"poll, inquiry, questionnaire, survey",B1,feminine,anketa,X,istraživanje provedeno među ljudima radi prikupljanja mišljenja,X,Anketa pokazuje da većina ljudi podržava novi zakon.,The poll shows that most people support the new law.,,
"anxiety, angst",B2,feminine,anksioznost,X,stanje jakog unutarnjeg nemira,X,Anksioznost se pojačava kada osoba izgubi osjećaj kontrole nad situacijom.,Anxiety increases when a person loses a sense of control over a situation.,,
antibiotic,A2,masculine,antibiotik,X,tvar koja uništava bakterije,X,Popio sam antibiotik koji mi je doktor dao.,I took the antibiotic the doctor gave me.,,
"machine, apparatus, device, appliance",A2,masculine,aparat,X,uređaj koji obavlja određenu funkciju,X,Aparat za kavu stoji na stolu.,The coffee machine is on the table.,,
apartment,B1,masculine,apartman,X,stan za kratkotrajni ili dugotrajni boravak,X,Prostrani apartman s pogledom na more brzo se iznajmljuje.,A spacious apartment with a sea view is quickly rented.,,
"app, application",A2,feminine,aplikacija,X,program za određenu funkciju na računalu ili mobitelu,X,Učim hrvatski s novom aplikacijom.,I'm learning Croatian with a new app.,,
pharmacy,B1,feminine,apoteka,X,mjesto gdje se prodaju lijekovi,X,Apoteka u tom selu još koristi staro ime za ljekarnu.,The apothecary in that village still uses the old word for pharmacy.,,
pharmacist,B1,masculine,apotekar,X,osoba koja izdaje i prodaje lijekove,X,Apotekar daje savjet o lijekovima.,The apothecary gives advice about medicines.,,
absolute,B1,adjective,apsolutan,X,potpun; bez ograničenja,X,Ovo je apsolutan dokaz da govori istinu.,This is absolute proof that she is telling the truth.,,
absolutely,B1,adverb,apsolutno,X,potpuno; u cijelosti,X,Apsolutno se slažem s tobom.,I absolutely agree with you.,,
abstract,B2,adjective,apstraktan,X,"koji se ne odnosi na konkretne predmete, već na pojmove i ideje",X,Njegovo objašnjenje bilo je previše apstraktno da bi ga svi razumjeli.,His explanation was too abstract for everyone to understand.,,
architect,B1,masculine,arhitekt,X,osoba koja planira i projektira zgrade,X,Arhitekt je nacrtao plan za novu školu.,The architect drew the plan for a new school.,,
architecture,B1,feminine,arhitektura,X,umjetnost i znanost građenja,X,Arhitektura starog grada privlači mnoge turiste.,The architecture of the old town attracts many tourists.,,
army,B1,feminine,armija,X,organizirana vojna snaga države,X,Armija je stigla u pomoć nakon poplave.,The army arrived to help after the flood.,,
"suitor, gallant",C,masculine,ašik,X,mladić koji pokazuje ljubavni interes prema djevojci (u narodnoj tradiciji),X,"Mladi ašik sjedio je pod prozorom, čekajući da se zavjesa pomakne.","The young lover sat under the window, waiting for the curtain to move.",,
flirt,C,verb,ašikovati,X,udvarati se osobi s ljubavnim namjerama,X,U dugim ljetnim noćima znao je ašikovati po sokacima uz tihu pjesmu.,"On long summer nights, he would go courting through the alleys to a quiet song.",,
assistant,B1,masculine,asistent,X,osoba koja pomaže drugome u radu,X,Asistent je pomogao profesoru tijekom predavanja.,The assistant helped the professor during the lecture.,,
astronaut,A2,masculine,astronaut,X,osoba koja putuje u svemir,X,Astronaut radi u svemiru i nosi posebno odijelo.,An astronaut works in space and wears a special suit.,,
astronomy,B2,feminine,astronomija,X,znanost o nebeskim tijelima i svemiru,X,Astronomija proučava zvijezde i planete u svemiru.,Astronomy studies stars and planets in the universe.,,
atheist,B1,masculine,ateist,X,osoba koja ne vjeruje u postojanje boga,X,Ateist je sudjelovao u raspravi o vjeri i obrazovanju.,An atheist participated in a discussion about religion and education.,,
atheism,B1,masculine,ateizam,X,uvjerenje da bog ne postoji,X,"Ateizam se u knjizi opisuje kao filozofski stav, a ne samo uvjerenje.","The book describes atheism as a philosophical position, not just a belief.",,
athletic,B1,adjective,atletski,X,koji se odnosi na sportove snage i izdržljivosti,X,On ima vrlo atletski izgled jer redovito trenira.,He has a very athletic appearance because he trains regularly.,,
attractive,B1,adjective,atraktivan,X,koji privlači pozornost izgledom ili osobinama,X,Grad ima nekoliko atraktivnih lokacija za turiste.,The city has several attractive locations for tourists.,,
attractiveness,B2,feminine,atraktivnost,X,svojstvo privlačnosti; privlačna kvaliteta,X,Atraktivnost mjesta povećala se nakon obnove povijesne jezgre.,The attractiveness of the place increased after the restoration of the historic center.,,
authentic,B2,adjective,autentičan,X,koji zadržava izvornu vjerodostojnost,X,Njegov stil pisanja djeluje iznenađujuće autentičan u odnosu na suvremene autore.,His writing style seems surprisingly authentic compared to contemporary authors.,,
car,A1,masculine,auto,X,cestovno vozilo s motorom za prijevoz manjem broju ljudi,X,Auto je nov i brz.,The car is new and fast.,,
bus,A1,masculine,autobus,X,vozilo za javni prijevoz većeg broja putnika po cestama,X,Autobus je pun.,The bus is full.,,
automatic,B2,adjective,automatski,X,"koji se odvija sam, bez izravnog ljudskog djelovanja",X,Stroj se automatski isključuje nakon pola sata neaktivnosti.,The machine switches off automatically after half an hour of inactivity.,,
"automobile, car",A2,masculine,automobil,X,cestovno motorno vozilo s četiri kotača,X,Automobil stoji ispred kuće.,The automobile is standing in front of the house.,,
authorship,B2,neuter,autorstvo,X,status i odgovornost pisca nekog djela,X,Autorstvo članka jasno je naznačeno na kraju teksta.,The authorship of the article is clearly indicated at the end of the text.,,
outsider,B2,masculine,autsajder,X,osoba koja nije dio skupine,X,Autsajder je iznenadio publiku kada je nadmašio favorite u finalu.,The underdog surprised the crowd when he outplayed the favorites in the final.,,
aviator,B2,masculine,avijatičar,X,osoba koja upravlja zrakoplovom,X,Avijatičar je letio starim avionom iznad planina.,An aviator was flying an old plane over the mountains.,,
"plane, airplane",A1,masculine,avion,X,letjelica koja služi za prijevoz ljudi i tereta kroz zrak,X,Avion je na aerodromu.,The airplane is at the airport.,,
Asia,A1,feminine,Azija,X,kontinent na istoku svijeta s velikim brojem država i kultura,X,Azija ima mnogo ljudi.,Asia has many people.,,
Asian,A2,adjective,azijski,X,koji se odnosi na Aziju,X,Vidio sam azijski film u kinu.,I saw an Asian movie in the cinema.,,
throw,B1,verb,baciti,X,odbaciti predmet pokretom ruke kroz zrak,X,Pokušao je baciti loptu preko ograde.,He tried to throw the ball over the fence.,,
grandmother,A1,feminine,baka,X,majka jednog od roditelja,X,Moja baka plete.,My grandmother is knitting.,,
cod,B1,masculine,bakalar,X,riba bijelog mesa koja živi u hladnim morima,X,Bakalar se najčešće jede u vrijeme Božića.,Cod is usually eaten at Christmas time.,,
the Balkans,A2,masculine,Balkan,X,zemljopisno područje jugoistočne Europe,X,Balkan ima mnogo različitih kultura i jezika.,The Balkans have many different cultures and languages.,,
Balkan,B1,adjective,balkanski,X,koji se odnosi na Balkan ili njegove narode,X,Balkanski narodi dijele slične običaje i povijest.,Balkan peoples share similar customs and history.,,
balcony,A2,masculine,balkon,X,povišeni vanjski prostor stana ili kuće ograđen ogradom,X,Na balkonu pijemo kavu.,We drink coffee on the balcony.,,
banana,A1,feminine,banana,X,tropsko voće duguljastog oblika sa žutom korom i slatkom unutrašnjošću,X,Banana je slatka i mekana.,The banana is sweet and soft.,,
bank,A1,feminine,banka,X,financijska ustanova koja prima uloge i daje kredite,X,Banka je zatvorena.,The bank is closed.,,
bankruptcy,B2,masculine,bankrot,X,nemogućnost podmirivanja financijskih obveza,X,Bankrot tvrtke otvorio je pitanje odgovornosti uprave.,The company's bankruptcy raised the issue of management's liability.,,
go bankrupt,B2,verb,bankrotirati,X,pasti u stanje neplaćanja dugova,X,"Ako se nastavi gubitak, mogli bi bankrotirati do kraja godine.","If losses continue, they could go bankrupt by the end of the year.",,
barbarian,B2,masculine,barbar,X,osoba neuljučenog ili okrutnog ponašanja,X,Barbar je uništio sve što nije razumio.,The barbarian destroyed everything he did not understand.,,
"barbarity, barbarism",C,neuter,barbarstvo,X,okrutno ili necivilizirano ponašanje,X,Barbarstvo koje je uslijedilo izbrisalo je svaki trag prethodne kulture.,The barbarity that followed erased every trace of the previous culture.,,
at least,B1,adverb,barem,X,barem u najmanjoj mjeri; minimalno,X,Barem pokušaj razumjeti što govorim.,At least try to understand what I am saying.,,
"really, that",A2,adverb,baš,X,naglašavanje značenja; doista; upravo tako,X,Ovaj film mi je baš dobar.,I really like this movie.,,
deal with,B1,expression,baviti se,X,posvetiti vrijeme određenoj aktivnosti ili poslu,X,Već godinama se bavim fotografijom.,I have been engaged in photography for years.,,
"pool, swimming pool, basin",A1,masculine,bazen,X,mjesto ispunjeno vodom za kupanje,X,Voda u bazenu je hladna.,The water in the pool is cold.,,
baby,A1,feminine,beba,X,malo dijete u najranijem razdoblju života,X,Beba spava u krevetiću.,The baby is sleeping in the crib.,,
baseball,A2,masculine,bejzbol,X,sport u kojem se loptica udara palicom,X,Moj brat voli igrati bejzbol s prijateljima.,My brother likes to play baseball with his friends.,,
backhand,B2,masculine,bekhend,X,udarac s vanjske strane reketa,X,Njegov bekhend je toliko precizan da protivnici rijetko uspiju uzvratiti.,His backhand is so precise that opponents rarely manage to counter.,,
"gas, gasoline",A1,masculine,benzin,X,tekuće gorivo za motore,X,Auto ne može krenuti jer nema benzina u spremniku.,The car won't start because there's no gas in the tank.,,
gas station,A2,feminine,benzinska postaja,X,mjesto na kojem se prodaje gorivo za vozila,X,Auto se zaustavio na benzinskoj postaji.,The car stopped at a gas station.,,
contentless,C,adjective,besadržajan,X,koji nema sadržaja,X,"Njegov govor bio je dug, ali potpuno besadržajan i lišen svake poante.",His speech was long but completely empty and devoid of any substance.,,
furious,B2,adjective,besan,X,vrlo ljut; bijesan,X,Bio je potpuno besan kad je čuo vijest o prijevari.,He was completely furious when he heard about the fraud.,,
seamless,B2,adjective,bešavan,X,koji nema šavova; gladak i ujednačen,X,Haljina je izrađena od bešavnog materijala koji savršeno pristaje.,The dress was made of seamless material that fit perfectly.,,
unscrupulous,C,adjective,besavjestan,X,koji nema moralnih načela; nepošten,X,Besavjestan političar iskorištava povjerenje građana bez imalo grižnje savjesti.,The unscrupulous politician exploited public trust without a hint of guilt.,,
aimless,B2,adjective,besciljan,X,koji nema cilj; bez jasne svrhe,X,Proveo je nekoliko godina u besciljnom traženju smisla.,He spent several years in aimless searching for meaning.,,
interest-free,B2,adjective,beskamatni,X,na koji se ne plaćaju kamate,X,Banka nudi beskamatni kredit za studente.,The bank offers interest-free loans for students.,,
spineless,C,adjective,beskarakteran,X,koji nema čvrst karakter ili stav,X,"Bio je beskarakteran čovjek, spreman promijeniti mišljenje čim mu to koristi.","He was a spineless man, ready to change his opinion whenever it suited him.",,
classless,C,adjective,besklasan,X,koji nema društvenu klasu ili sloj,X,U idealnom društvu svi bi bili besklasni i jednaki pred zakonom.,"In an ideal society, everyone would be classless and equal before the law.",,
uncompromising,B2,adjective,beskompromisan,X,koji ne pristaje na kompromis,X,Poznat je po svom beskompromisnom stavu prema pravdi.,He’s known for his uncompromising attitude toward justice.,,
"infinite, endless",B2,adjective,beskonačan,X,koji nema kraja; beskrajan,X,Noć se činila beskonačnom dok smo čekali rezultate.,The night seemed endless while we waited for the results.,,
useless,B1,adjective,beskoristan,X,koji nema koristi ni svrhe,X,Taj savjet pokazao se potpuno beskoristan.,That advice turned out to be completely useless.,,
infinity,B2,masculine,beskraj,X,neograničen prostor ili trajanje,X,Gledao je u beskraj mora i razmišljao o prošlosti.,He gazed into the vastness of the sea and thought about the past.,,
homeless,B1,adjective,beskućnički,X,koji se odnosi na osobu bez doma,X,Beskućnički centar pruža privremeni smještaj tijekom zime.,A homeless shelter provides temporary shelter during the winter.,,
homeless person,B1,masculine,beskućnik,X,osoba koja nema stalno boravište,X,Beskućnik je zatražio pomoć kod socijalne službe.,A homeless man sought help from social services.,,
"pointless, meaningless",B1,adjective,besmislen,X,koji nema smisla; beskoristan,X,To je bio besmislen pokušaj da ga uvjeriš.,It was a pointless attempt to convince him.,,
lack of salt,C,feminine,besolica,X,stanje u kojem nedostaje soli,X,Njegova izjava bila je prava besolica koja je izazvala smijeh u publici.,His statement was sheer nonsense that made the audience laugh.,,
lack of money,B2,feminine,besparica,X,stanje u kojem nedostaje novca,X,Zbog besparice su odgodili putovanje.,They postponed the trip because of lack of money.,,
hopeless,B2,adjective,besperspektivan,X,koji nema nade ni mogućnosti napretka,X,Mladi u besperspektivanim sredinama često odlaze u veće gradove u potrazi za mogućnostima.,Young people in hopeless environments often move to bigger cities in search of opportunities.,,
"free, free of charge",A2,adjective,besplatan,X,koji se ne plaća; koji je bez troška,X,Ulaz u muzej je danas besplatan.,Entrance to the museum is free today.,,
infertile,B2,adjective,besplodan,X,koji ne može imati potomstvo; neplodan,X,Njihov brak ostao je besplodan unatoč dugom liječenju.,Their marriage remained childless despite long treatment.,,
unquestioning,C,adjective,bespogovoran,X,koji ne dovodi ništa u pitanje; poslušan,X,"Njegova poslušnost bila je bespogovorna, gotovo vojnički slijepa.","His obedience was unquestioning, almost military.",,
sexless,C,adjective,bespolan,X,koji nema spol; bez spolnih obilježja,X,Umjetnik je istraživao bespolni identitet kroz apstraktne oblike tijela.,The artist explored genderless identity through abstract forms of the body.,,
helpless,B1,adjective,bespomoćan,X,koji ne može pomoći sebi; nemoćan,X,Osjećala se bespomoćno kad je čula lošu vijest.,She felt helpless when she heard the bad news.,,
unemployed,B2,adjective,besposlen,X,koji nema posao,X,"Nakon otkaza, mjesecima je bio besposlen i bez plana.","After being fired, he was unemployed for months and without a plan.",,
"unemployment, idleness",B2,feminine,besposlenost,X,stanje bez zaposlenja,X,Dugotrajna besposlenost može negativno utjecati na samopouzdanje.,Long-term unemployment can negatively affect self-confidence.,,
idleness,B2,feminine,besposlica,X,stanje dokoličarenja; nerad,X,Iz dosade je nastala prava besposlica koja ga je iscrpila.,Out of boredom came a kind of idleness that drained him.,,
relentless,C,adjective,bespoštedan,X,koji ne pokazuje milost ni popuštanje,X,"Vodio je bespoštednu borbu protiv korupcije, bez ijednog kompromisa.","He led a relentless fight against corruption, without a single compromise.",,
"non-refundable, irreversible",C,adjective,bespovratan,X,koji se ne može vratiti ili nadoknaditi,X,Njegova odluka imala je bespovratne posljedice po cijelu zajednicu.,His decision had irreversible consequences for the entire community.,,
"flawless, impeccable",B2,adjective,besprijekoran,X,koji nema pogreške; savršen,X,Njegov rad uvijek je bio besprijekoran i profesionalan.,His work was always flawless and professional.,,
"unprecedented, exceptional",C,adjective,besprimjeran,X,koji nema presedana; izniman,X,To je bio besprimjeran čin hrabrosti u vrijeme općeg straha.,It was an exceptional act of courage in a time of general fear.,,
unprincipled,C,adjective,besprincipijelan,X,koji nema načela,X,"Budući da je bio besprincipijelan, lako se prilagođavao svakoj vlasti.","Since he was unprincipled, he easily adapted to every government.",,
unrestrained,C,adjective,besputan,X,koji se ne obuzdava; razuzdan,X,Roman opisuje besputan život čovjeka koji je izgubio smisao postojanja.,The novel describes a wayward life of a man who lost his sense of purpose.,,
shameless,B2,adjective,besraman,X,koji se ne srami; drzak,X,To je bio besraman pokušaj da se izbjegne odgovornost.,It was a shameless attempt to avoid responsibility.,,
"shameless, brazen",C,adjective,bestidan,X,koji se ne srami; bez stida,X,Njegov bestidan nastup šokirao je i najtolerantnije gledatelje.,His shameless performance shocked even the most tolerant viewers.,,
"bodiless, incorporeal",C,adjective,bestjelesan,X,koji nema tijelo; duhovan,X,"U filozofskom kontekstu, duša se smatra bestjelesnom i vječnom.","In a philosophical context, the soul is considered bodiless and eternal.",,
"noiseless, silent",B2,adjective,bešuman,X,koji ne proizvodi zvuk; tih,X,Auto je klizio cestom gotovo bešumno.,The car glided along the road almost silently.,,
unconsciousness,B2,feminine,besvijest,X,stanje gubitka svijesti,X,Nakon pada izgubio je svijest i ostao u besvijesti nekoliko minuta.,"After the fall, he lost consciousness and remained unconscious for several minutes.",,
concrete,A2,masculine,beton,X,"mješavina cementa, pijeska i šljunka",X,Djeca crtaju kredom po hladnom betonu.,The kids draw with chalk on the cold concrete.,,
without,A1,preposition,bez,X,prijedlog koji označava odsutnost ili manjak nečega,X,Pijem kavu bez šećera.,I drink coffee without sugar.,,
"illegal, unlawful",B2,adjective,bezakonit,X,koji nije dopušten zakonom,X,Tvrtka je optužena za bezakonito poslovanje.,The company was accused of illegal business practices.,,
non-alcoholic,B1,adjective,bezalkoholan,X,koji ne sadrži alkohol,X,Na zabavi su posluživali samo bezalkoholna pića.,Only non-alcoholic drinks were served at the party.,,
"harmless, innocent",B2,adjective,bezazlen,X,koji nije opasan; nevin,X,"To je bio bezazlen komentar, ali ga je ona shvatila ozbiljno.","It was an innocent comment, but she took it seriously.",,
colorless,B1,adjective,bezbojan,X,koji nema boje,X,More je bilo mirno i gotovo bezbojno.,The sea was calm and almost colorless.,,
painless,B1,adjective,bezbolan,X,koji ne izaziva bol,X,Zahvat je bio brz i gotovo bezbolan.,The procedure was quick and almost painless.,,
godless,C,adjective,bezbožan,X,koji ne vjeruje u Boga,X,Propovjednik je osuđivao bezbožno ponašanje modernog društva.,The preacher condemned the godless behavior of modern society.,,
carefree,B1,adjective,bezbrižan,X,koji je bez briga; bezbrižan,X,Ljeto na selu bilo je potpuno bezbrižno.,The summer in the countryside was completely carefree.,,
"countless, innumerable",B1,adjective,bezbrojan,X,koji se ne može prebrojati; vrlo mnogobrojan,X,Na nebu se pojavilo bezbroj zvijezda.,Countless stars appeared in the sky.,,
smokeless,B2,adjective,bezdimni,X,koji ne proizvodi dim,X,Koriste bezdimne peći kako bi smanjili zagađenje.,They use smokeless stoves to reduce pollution.,,
"heartless, cruel",B2,adjective,bezdušan,X,koji nema suosjećanja; okrutan,X,Njegov odgovor bio je hladan i bezdušan.,His response was cold and heartless.,,
landless person,C,masculine,bezemljaš,X,osoba bez vlastite zemlje,X,Bezemljaši su u prošlosti činili najugroženiji sloj seoskog stanovništva.,Landless peasants once made up the most vulnerable class of rural society.,,
celibacy,C,neuter,beženstvo,X,stanje neženstva; celibat,X,Beženstvo je u to vrijeme smatrano društveno nepoželjnim stanjem.,Unmarried life was at that time considered socially undesirable.,,
voiceless,B2,adjective,bezglasan,X,koji nema glas,X,"Soba je bila bezglasna, svi su čekali ishod.",The room was silent; everyone waited for the outcome.,,
headless,B2,adjective,bezglav,X,koji nema glavu; bez vođe,X,U bezglavoj žurbi zaboravio je ključ kod kuće.,"In his headlong rush, he forgot the key at home.",,
cashless,B2,adjective,bezgotovinski,X,koji se odnosi na transakcije bez gotovine,X,Kupnja postaje sve više bezgotovinska zahvaljujući karticama i aplikacijama.,Shopping is becoming increasingly cashless thanks to cards and apps.,,
"limitless, boundless",B2,adjective,bezgraničan,X,koji nema granica; beskrajan,X,Osjećao je bezgraničnu zahvalnost prema roditeljima.,He felt boundless gratitude toward his parents.,,
"sinless, flawless",B2,adjective,bezgrešan,X,koji nema grijeha; savršen,X,Vjerovali su da je njihova ljubav bezgrešna i čista.,They believed their love was sinless and pure.,,
uninspired,C,adjective,bezidejan,X,koji nema ideja; bez inspiracije,X,"Njegov govor bio je bezidejan, lišen svake originalne misli.","His speech was uninspired, devoid of any original thought.",,
lifeless,B2,adjective,beživotan,X,koji nema života; mrtav,X,Njegovo lice izgledalo je beživotno nakon dugog puta.,His face looked lifeless after the long journey.,,
hopeless,B1,adjective,bezizgledan,X,koji nema nade ili rješenja; bez izlaza,X,Situacija nam se činila potpuno bezizgledna dok nismo dobili novu informaciju.,The situation seemed completely hopeless until we received new information.,,
hopeless,C,adjective,bezizlazan,X,koji nema izlaza; bez nade,X,"Nalazio se u gotovo bezizlaznom odnosu moći, gdje je svaka odluka vodila novim posljedicama.","He found himself in an almost hopeless power relationship, where every decision led to new consequences.",,
without exception,C,adjective,bezizniman,X,koji nema iznimke; potpun,X,"Zakon se mora primjenjivati beziznimno, bez obzira na položaj pojedinca.","The law must be applied without exception, regardless of a person’s position.",,
expressionless,B2,adjective,bezizražajan,X,koji nema izraza lica,X,"Film je bio tehnički dobar, ali gluma potpuno bezizražajna.","The movie was technically good, but the acting was completely expressionless.",,
expressionlessly,B2,adverb,bezizrazno,X,na način bez izraza lica,X,"Kimnuo je bezizrazno, ne pokazujući nikakve emocije.","He nodded blankly, showing no emotion.",,
faceless,B2,adjective,bezličan,X,koji nema prepoznatljive osobine,X,Ured je djelovao hladno i bezlično.,The office felt cold and impersonal.,,
insignificant,B2,adjective,beznačajan,X,koji nema važnost; bez značaja,X,Njegova uloga u projektu bila je gotovo beznačajna.,His role in the project was almost insignificant.,,
"rude, insolent",B1,adjective,bezobrazan,X,koji se ponaša nepristojno; drzak,X,Bio je bezobrazan prema učitelju i svi su se iznenadili.,"He was rude to the teacher, and everyone was surprised.",,
"rudeness, insolence",B2,masculine,bezobrazluk,X,nepristojno ponašanje; drskost,X,Njegov bezobrazluk prema starijima zgrozio je prisutne.,His rudeness toward the elderly shocked everyone present.,,
inconsiderate,B2,adjective,bezobziran,X,koji ne vodi računa o drugima,X,Bezobziran vozač ugrozio je pješake na prijelazu.,A reckless driver endangered pedestrians at the crossing.,,
